True Label,Predicted Label,Test Scores (r2 or accuracy),Parameters
100.0000014901,-12166507134452.096,_,_
100.0000014901,44346362110890.266,_,_
100.0000014901,7837251581829.915,_,_
100.0000014901,-48631112590012.336,_,_
100.0000014901,36536147686742.78,_,_
100.0000014901,-127822155684010.45,_,_
100.0000014901,-17284614980409.25,_,_
100.0000014901,-13721902037218.738,_,_
100.0000014901,11346500853452.57,_,_
100.0000014901,31647307119864.633,_,_
100.0000014901,20173185697132.47,_,_
100.0000014901,-55818138606790.3,_,_
149.3751474346,55190873857331.94,_,_
150.0000022352,-53190670812354.8,_,_
150.0000022352,37727064976750.32,_,_
150.0000022352,-39677833908071.04,_,_
150.0000022352,40097446971214.32,_,_
150.0000022352,666634780858.6056,_,_
150.0000022352,41435240946436.65,_,_
150.0000022352,52560753791066.805,_,_
150.0000022352,-37928054001044.875,_,_
150.0000022352,69077120798032.414,_,_
51.2497103554,17626357291165.836,_,_
50.0000007451,-18845591235723.023,_,_
50.0000007451,24300565517617.82,_,_
50.0000007451,73369274425212.28,_,_
50.0000007451,-41507597703416.66,_,_
50.0000007451,41180076617938.54,_,_
50.0000007451,26777770777141.883,_,_
50.0000007451,55862551641377.195,_,_
50.0000007451,-44279739973828.02,_,_
50.0000007451,81010565567507.97,_,_
50.0000007451,18268032164872.152,_,_
50.0000007451,4296233200874.9683,_,_
50.0000007451,-15669229530353.553,_,_
50.0000007451,-52222421361245.58,_,_
50.0000007451,62515742787107.76,_,_
99.3751466773,-60056551004040.55,_,_
100.0000014901,-5026050519049.978,_,_
100.0000014901,-21623987166555.016,_,_
100.0000014901,-74922789307330.19,_,_
100.0000014901,24478664677791.633,_,_
100.0000014901,-10624428981561.27,_,_
100.0000014901,21361604551095.11,_,_
100.0000014901,-79271305227486.3,_,_
100.0000014901,-7548938304144.922,_,_
100.0000014901,17755914936767.88,_,_
100.0000014901,25840253078270.902,_,_
100.0000014901,47509997317083.086,_,_
98.7576142035,39174787221822.03,_,_
0.0,-25589506462039.32,_,_
0.0,-41128873135938.52,_,_
49.3751459369,13898923743894.373,_,_
50.0000007451,59107561167437.08,_,_
50.0000007451,13016182184976.285,_,_
50.0000007451,-112324525446636.61,_,_
50.0000007451,6068741437549.222,_,_
50.0000007451,-23985542757879.53,_,_
50.0000007451,-70078620316334.516,_,_
50.0000007451,10234563473756.13,_,_
50.0000007451,-21708946620104.56,_,_
50.0000007451,32844585067568.242,_,_
50.0000007451,377331598886.8178,_,_
50.0000007451,8820679874021.826,_,_
50.0000007451,-36523296190566.39,_,_
50.0000007451,-5957372890286.145,_,_
50.0000007451,-14730215129681.217,_,_
148.7502926096,-63147259188292.2,_,_
150.0000022352,-38074550917195.39,_,_
150.0000022352,-31384226877864.1,_,_
150.0000022352,10404006267372.488,_,_
150.0000022352,-63221340180037.89,_,_
150.0000022352,47388163549661.73,_,_
150.0000022352,42908887551549.84,_,_
150.0000022352,55499472403709.016,_,_
150.0000022352,23372922385583.438,_,_
150.0000022352,-77186909125888.27,_,_
100.6248563059,-3573060052845.202,_,_
100.0000014901,12511077755127.338,_,_
100.0000014901,43169900193331.27,_,_
100.0000014901,-35665737874146.8,_,_
100.0000014901,-96154278246719.44,_,_
100.0000014901,5348973058481.936,_,_
100.0000014901,35302310463578.664,_,_
100.0000014901,-73901356957025.88,_,_
100.0000014901,-75012226742046.0,_,_
100.0000014901,-922717108725.2134,_,_
100.0000014901,55899095077313.16,_,_
100.0000014901,-40664775763492.445,_,_
99.3788078438,58014606370466.32,_,_
50.0000007451,5595515411795.834,_,_
50.0000007451,-17994313804943.023,_,_
50.0000007451,-27086013194142.02,_,_
50.0000007451,37487928056359.78,_,_
50.0000007451,22653417232090.516,_,_
50.0000007451,35742114634071.88,_,_
50.0000007451,-66636276451904.29,_,_
50.0000007451,36679528348300.52,_,_
50.0000007451,-60553648749786.48,_,_
50.0000007451,-62903197498574.09,_,_
50.0000007451,-72336607352130.12,_,_
50.0000007451,7141890291169.277,_,_
50.0000007451,-65763958921719.22,_,_
50.0000007451,-19960830217442.14,_,_
51.2423880255,16525114682280.275,_,_
150.0000022352,6363443256251.433,_,_
150.0000022352,36838013400694.625,_,_
150.0000022352,34753754560651.344,_,_
150.0000022352,-61775522262185.89,_,_
150.0000022352,60343102758283.086,_,_
150.0000022352,-57852984052584.1,_,_
150.0000022352,8744876813855.205,_,_
150.0000022352,22127290010773.758,_,_
150.0000022352,61021011897250.945,_,_
149.378808598,-11282737164071.826,_,_
100.0000014901,10597998919058.75,_,_
100.0000014901,-48049913920107.664,_,_
100.0000014901,48740838606004.04,_,_
100.0000014901,-8547747525907.567,_,_
100.0000014901,-4628478567788.405,_,_
100.0000014901,70497021106003.44,_,_
100.0000014901,-2670258898784.465,_,_
100.0000014901,-39313996701234.35,_,_
100.0000014901,-56125257712793.05,_,_
100.0000014901,22286662641213.645,_,_
100.0000014901,8023194161839.136,_,_
100.0000014901,16882459834995.795,_,_
149.3751474346,-89980761540011.94,_,_
150.0000022352,8214041133658.654,_,_
150.0000022352,-38473702528269.75,_,_
150.0000022352,30783432076376.965,_,_
150.0000022352,-9788175940406.852,_,_
150.0000022352,11270317982738.855,_,_
150.0000022352,-6051396201213.58,_,_
150.0000022352,38947380168924.46,_,_
150.0000022352,-11718638109869.762,_,_
51.2497103554,97362951727417.94,_,_
50.0000007451,3431158947500.132,_,_
50.0000007451,-33985141516595.883,_,_
50.0000007451,38271136024289.19,_,_
50.0000007451,-7793304830566.067,_,_
50.0000007451,-39072386417285.32,_,_
50.0000007451,992597309225.2705,_,_
50.0000007451,33753572932122.51,_,_
50.0000007451,68871704795571.51,_,_
50.0000007451,3956583424799.067,_,_
50.0000007451,141368595057.73822,_,_
50.0000007451,-107199557801.36453,_,_
50.0000007451,-33119402784291.566,_,_
50.0000007451,-46870564022011.08,_,_
50.0000007451,8605639727917.241,_,_
99.3751466773,48453014883762.08,_,_
100.0000014901,8136519972582.611,_,_
100.0000014901,-60198442271256.36,_,_
100.0000014901,29992066257064.152,_,_
100.0000014901,34349729891738.8,_,_
100.0000014901,22511710339870.33,_,_
100.0000014901,-51412697453156.94,_,_
100.0000014901,-16382978125243.973,_,_
100.0000014901,-50370161737876.11,_,_
100.0000014901,-40765981813860.1,_,_
100.0000014901,704613725037.5212,_,_
100.0000014901,37300509179763.305,_,_
98.7576142035,-57174900880553.05,_,_
0.0,-72244337342459.81,_,_
0.0,-74299963476753.88,_,_
49.3751459369,-7430614716624.134,_,_
50.0000007451,-4048395576869.463,_,_
50.0000007451,-26588619710880.125,_,_
50.0000007451,-1968899862143.4255,_,_
50.0000007451,-30434206888521.75,_,_
50.0000007451,53953779838462.984,_,_
50.0000007451,15000238951078.555,_,_
50.0000007451,-51571591253518.46,_,_
50.0000007451,-34752405032564.04,_,_
50.0000007451,-35774190071015.13,_,_
50.0000007451,31549364727967.59,_,_
50.0000007451,10963823303035.293,_,_
50.0000007451,12439452147042.31,_,_
50.0000007451,-9135963027264.113,_,_
50.0000007451,-47997966341123.19,_,_
148.7502926096,-50481852452557.09,_,_
150.0000022352,-5162144475729.634,_,_
150.0000022352,7604534615172.645,_,_
150.0000022352,4988433020357.9,_,_
150.0000022352,-32988274424904.633,_,_
150.0000022352,-29285193835509.355,_,_
150.0000022352,-31569952375459.94,_,_
150.0000022352,-27563781400467.168,_,_
150.0000022352,-40904982969120.26,_,_
150.0000022352,-50521499397684.3,_,_
100.6248563059,-15900845419046.666,_,_
100.0000014901,20879764108322.258,_,_
100.0000014901,19113690545449.086,_,_
100.0000014901,-50613449632612.97,_,_
100.0000014901,-32439438714177.88,_,_
100.0000014901,37952487418919.164,_,_
100.0000014901,28015366765123.773,_,_
100.0000014901,12914974808968.629,_,_
100.0000014901,9678388175399.928,_,_
100.0000014901,12220254276680.2,_,_
100.0000014901,62832938950301.24,_,_
100.0000014901,27495277602421.027,_,_
99.3788078438,4448379645226.871,_,_
50.0000007451,31482384981956.992,_,_
50.0000007451,18218434098454.516,_,_
50.0000007451,-10792813386627.547,_,_
50.0000007451,4588615006856.367,_,_
50.0000007451,-34231826593656.72,_,_
50.0000007451,-22616102399068.98,_,_
50.0000007451,51168063074564.25,_,_
50.0000007451,39479066247666.16,_,_
50.0000007451,-30060931303519.914,_,_
50.0000007451,937510113643.0303,_,_
50.0000007451,7348041600513.223,_,_
50.0000007451,-2957949634540.93,_,_
50.0000007451,11866397158711.906,_,_
50.0000007451,16372368784664.205,_,_
51.2423880255,-16816879835647.912,_,_
150.0000022352,-56379595412801.78,_,_
150.0000022352,3406416045301.5522,_,_
150.0000022352,-59489198999892.07,_,_
150.0000022352,-72728778702835.12,_,_
150.0000022352,-18515192618466.957,_,_
150.0000022352,1117020481216.2073,_,_
150.0000022352,25263444206801.28,_,_
150.0000022352,-11750823665297.064,_,_
150.0000022352,11880331832259.42,_,_
149.378808598,-13015356033624.76,_,_
100.0000014901,27282549931426.176,_,_
100.0000014901,1455278187128.4248,_,_
100.0000014901,52177818654421.1,_,_
100.0000014901,-53647195897126.12,_,_
100.0000014901,-20238473525276.36,_,_
100.0000014901,3714508490045.8613,_,_
100.0000014901,-2356063260317.8716,_,_
100.0000014901,5737918829285.476,_,_
100.0000014901,6564488450834.984,_,_
100.0000014901,80444342597913.14,_,_
100.0000014901,24237620207700.332,_,_
100.0000014901,45120653483987.984,_,_
149.3751474346,24925998293274.49,_,_
150.0000022352,-44602372898577.41,_,_
150.0000022352,51897899445564.48,_,_
150.0000022352,-17589010088931.203,_,_
150.0000022352,-11812800351365.95,_,_
150.0000022352,31777486937840.0,_,_
150.0000022352,31254245851419.992,_,_
150.0000022352,23473423949690.1,_,_
150.0000022352,-37065346490493.43,_,_
150.0000022352,-17715319131873.688,_,_
51.2497103554,1554756928090.4885,_,_
50.0000007451,19644370655400.445,_,_
50.0000007451,-63899001616069.85,_,_
50.0000007451,17069778220996.125,_,_
50.0000007451,-10045367893982.248,_,_
50.0000007451,30240122102772.887,_,_
50.0000007451,5506485878824.883,_,_
50.0000007451,-48898231288664.695,_,_
50.0000007451,16322888435445.504,_,_
50.0000007451,24299028151703.36,_,_
50.0000007451,-29093859770746.68,_,_
50.0000007451,-11029147753619.844,_,_
50.0000007451,18395467158209.996,_,_
50.0000007451,-59329524234663.89,_,_
50.0000007451,-46959098532979.55,_,_
99.3751466773,-12620362437287.285,_,_
100.0000014901,-28770170565828.25,_,_
100.0000014901,-68831603180049.61,_,_
100.0000014901,-8516995376249.572,_,_
100.0000014901,50014161865302.64,_,_
100.0000014901,-12938929305060.434,_,_
100.0000014901,24450231617417.105,_,_
100.0000014901,19128600785302.99,_,_
100.0000014901,735079543992.8085,_,_
100.0000014901,-46971448498752.45,_,_
100.0000014901,12621478221822.268,_,_
100.0000014901,-19665568568481.832,_,_
98.7576142035,21368249328602.707,_,_
0.0,16902875872901.264,_,_
0.0,31728405572523.535,_,_
49.3751459369,46947409788564.195,_,_
50.0000007451,67430683935406.13,_,_
50.0000007451,-18464333342481.2,_,_
50.0000007451,13323131499483.041,_,_
50.0000007451,-66142196925788.35,_,_
50.0000007451,66643178763557.41,_,_
50.0000007451,18881225899264.91,_,_
50.0000007451,-36864305453455.08,_,_
50.0000007451,5176498442952.15,_,_
50.0000007451,-39680577428684.14,_,_
50.0000007451,56165029641149.54,_,_
50.0000007451,-1243403181481.2646,_,_
50.0000007451,-34541448261946.36,_,_
50.0000007451,-24765224498654.656,_,_
50.0000007451,-28540988718696.906,_,_
150.0000022352,-56842476128648.484,_,_
150.0000022352,-14848007812113.99,_,_
150.0000022352,23945419202264.324,_,_
150.0000022352,39716733461371.88,_,_
150.0000022352,35205395179044.125,_,_
150.0000022352,78149981396835.58,_,_
150.0000022352,47919516071517.94,_,_
150.0000022352,20687455126248.11,_,_
150.0000022352,-18897971948239.562,_,_
100.6248563059,12577249293150.984,_,_
100.0000014901,-21010296364035.19,_,_
100.0000014901,-15332023806748.102,_,_
100.0000014901,42256575032506.05,_,_
100.0000014901,-62265221130217.88,_,_
100.0000014901,70947129187033.48,_,_
100.0000014901,-10716751934850.252,_,_
100.0000014901,-31834867795428.35,_,_
100.0000014901,-44770575605224.42,_,_
100.0000014901,-60287297230601.86,_,_
100.0000014901,-68406537975661.305,_,_
100.0000014901,48855627051071.59,_,_
99.3788078438,94855235906561.47,_,_
50.0000007451,9569792950913.605,_,_
50.0000007451,3377785867298.706,_,_
50.0000007451,54022361059855.625,_,_
50.0000007451,2355463544777.8794,_,_
50.0000007451,15427387505970.979,_,_
50.0000007451,9953789539526.092,_,_
50.0000007451,-21073244951405.793,_,_
50.0000007451,9741399811331.35,_,_
50.0000007451,53925425533204.99,_,_
50.0000007451,-1619844634237.7854,_,_
50.0000007451,-73461592390768.06,_,_
50.0000007451,44812404807667.71,_,_
50.0000007451,-29458128213843.516,_,_
50.0000007451,89850547312432.52,_,_
51.2423880255,-22992366689944.875,_,_
150.0000022352,56237124002882.664,_,_
150.0000022352,1651878777944.7979,_,_
150.0000022352,22020549078696.21,_,_
150.0000022352,-17705762203982.97,_,_
150.0000022352,44569468856101.62,_,_
150.0000022352,-36419017514347.7,_,_
150.0000022352,-8280263186457.542,_,_
150.0000022352,24791785073901.18,_,_
150.0000022352,79151876032280.12,_,_
149.378808598,74039007312947.3,_,_
100.0000014901,38950062126011.54,_,_
100.0000014901,-2508546298445.734,_,_
100.0000014901,64136878373404.37,_,_
100.0000014901,19331251008217.195,_,_
100.0000014901,-19030537519605.164,_,_
100.0000014901,-39104649253703.9,_,_
100.0000014901,6433537403008.768,_,_
100.0000014901,-574697116442.0334,_,_
100.0000014901,-26861650771699.133,_,_
100.0000014901,-71833851808058.75,_,_
100.0000014901,-22471250370238.242,_,_
100.0000014901,16408804155260.967,_,_
149.3751474346,26007122858178.6,_,_
150.0000022352,-31529834450206.26,_,_
150.0000022352,11754433379235.867,_,_
150.0000022352,-23567310843865.58,_,_
150.0000022352,1586971246651.8447,_,_
150.0000022352,43020778918609.23,_,_
150.0000022352,31196771273937.32,_,_
150.0000022352,36990323656044.57,_,_
150.0000022352,-13613049665.287271,_,_
150.0000022352,-36335748864662.055,_,_
51.2497103554,-21861767770425.64,_,_
50.0000007451,-53275346171582.49,_,_
50.0000007451,-63827372514125.56,_,_
50.0000007451,-6877273520479.458,_,_
50.0000007451,-39409977841454.69,_,_
50.0000007451,-20275154047116.16,_,_
50.0000007451,-71195596135836.4,_,_
50.0000007451,-10163417939250.4,_,_
50.0000007451,-54308540267047.45,_,_
50.0000007451,-3505597654239.231,_,_
50.0000007451,19132292319964.0,_,_
50.0000007451,20151584863035.062,_,_
50.0000007451,17529170595100.256,_,_
50.0000007451,-4062883386138.8745,_,_
50.0000007451,197727599392.11725,_,_
99.3751466773,-118444161020998.66,_,_
100.0000014901,-27229860048156.59,_,_
100.0000014901,6593244501872.083,_,_
100.0000014901,-37186320888196.055,_,_
100.0000014901,-29103347288816.184,_,_
100.0000014901,-12595655661808.65,_,_
100.0000014901,-12280833578445.637,_,_
100.0000014901,-8471684983106.763,_,_
100.0000014901,762319417532.1752,_,_
100.0000014901,7463960363932.846,_,_
100.0000014901,-29197368204546.688,_,_
100.0000014901,-50865955395362.35,_,_
98.7576142035,27452896713784.016,_,_
0.0,-30208577315769.4,_,_
0.0,-28314608846478.14,_,_
49.3751459369,-40972582280928.46,_,_
50.0000007451,29120566256781.676,_,_
50.0000007451,-11729753198827.824,_,_
50.0000007451,-47033071161847.805,_,_
50.0000007451,-61593662864430.586,_,_
50.0000007451,-21341169668459.66,_,_
50.0000007451,-24496309362190.008,_,_
50.0000007451,19848245134006.0,_,_
50.0000007451,7565559834623.934,_,_
50.0000007451,-26816290840462.17,_,_
50.0000007451,-28938789027642.94,_,_
50.0000007451,36868195572959.82,_,_
50.0000007451,-38441507299104.06,_,_
50.0000007451,-12342563279660.4,_,_
50.0000007451,-39819021324713.81,_,_
148.7502926096,962703271926.1042,_,_
150.0000022352,30957610231049.8,_,_
150.0000022352,66833899558700.33,_,_
150.0000022352,732379067647.268,_,_
150.0000022352,72365720546874.5,_,_
150.0000022352,-21803445498428.027,_,_
150.0000022352,46092804017143.945,_,_
150.0000022352,13730461866948.008,_,_
150.0000022352,-9862764793089.309,_,_
150.0000022352,51369425548238.77,_,_
100.6248563059,41374826753971.375,_,_
100.0000014901,85701609611099.16,_,_
100.0000014901,-41777288392565.836,_,_
100.0000014901,-2639461190865.3022,_,_
100.0000014901,10260249692475.355,_,_
100.0000014901,-32195302101209.56,_,_
100.0000014901,-35917513583712.77,_,_
100.0000014901,-33938338298551.133,_,_
100.0000014901,-18742151475539.516,_,_
100.0000014901,-50668275748048.945,_,_
100.0000014901,-29360482923333.523,_,_
100.0000014901,-10217709529340.037,_,_
99.3788078438,19814870488689.52,_,_
50.0000007451,-108540516709762.55,_,_
50.0000007451,-15677627942246.148,_,_
50.0000007451,760393612840.3354,_,_
50.0000007451,10935243250265.213,_,_
50.0000007451,69148984087346.5,_,_
50.0000007451,-64286948775373.48,_,_
50.0000007451,-9010060474236.814,_,_
50.0000007451,-13390191642632.51,_,_
50.0000007451,-74449607620543.66,_,_
50.0000007451,-63150345747943.66,_,_
50.0000007451,-53649518199717.39,_,_
50.0000007451,29812878987363.36,_,_
50.0000007451,30335729764.892925,_,_
51.2423880255,-22754268925998.1,_,_
150.0000022352,10217681904299.467,_,_
150.0000022352,-13313699763958.566,_,_
150.0000022352,-6551696622127.076,_,_
150.0000022352,-57748046203920.02,_,_
150.0000022352,-61699641129933.9,_,_
150.0000022352,48467600679664.3,_,_
150.0000022352,-49445904190959.61,_,_
150.0000022352,-72045783048047.1,_,_
149.378808598,63063457907366.34,_,_
100.0000014901,-54960678664762.35,_,_
100.0000014901,12036945760198.035,_,_
100.0000014901,723021479106.952,_,_
100.0000014901,-19603046078131.918,_,_
100.0000014901,-7596806868378.876,_,_
100.0000014901,-18998175618338.844,_,_
100.0000014901,82473002013823.06,_,_
100.0000014901,-26351336328948.133,_,_
100.0000014901,-49313458934276.39,_,_
100.0000014901,9055515001732.635,_,_
100.0000014901,74601526739320.66,_,_
100.0000014901,-23037210406146.504,_,_
149.3751474346,29446088079169.656,_,_
150.0000022352,-72224806254683.47,_,_
150.0000022352,-26287959967235.375,_,_
150.0000022352,79087975216905.08,_,_
150.0000022352,42670220812739.305,_,_
150.0000022352,60849070075672.06,_,_
150.0000022352,-15001522458952.834,_,_
150.0000022352,78969206601520.12,_,_
150.0000022352,-16900223259275.105,_,_
150.0000022352,21066920909981.285,_,_
51.2497103554,1249256502126.5293,_,_
50.0000007451,-7674064007045.657,_,_
50.0000007451,23856842539603.883,_,_
50.0000007451,31965489605324.668,_,_
50.0000007451,33473561662937.527,_,_
50.0000007451,29977097442344.23,_,_
50.0000007451,-32817334920134.6,_,_
50.0000007451,18860893887874.86,_,_
50.0000007451,-25105156654496.84,_,_
50.0000007451,22222171444162.145,_,_
50.0000007451,-38252895614479.77,_,_
50.0000007451,30208276863807.66,_,_
50.0000007451,31259340257111.7,_,_
50.0000007451,5829415662967.475,_,_
99.3751466773,-50795661107100.19,_,_
100.0000014901,-95194577479722.27,_,_
100.0000014901,-25072781064658.715,_,_
100.0000014901,-18101996035587.9,_,_
100.0000014901,14179379619330.143,_,_
100.0000014901,24795561843140.28,_,_
100.0000014901,-34828821642259.684,_,_
100.0000014901,-44394365218872.55,_,_
100.0000014901,55023195646863.45,_,_
100.0000014901,3542756826253.1953,_,_
100.0000014901,-79579338659460.78,_,_
100.0000014901,20786242922308.94,_,_
98.7576142035,-13829094308957.729,_,_
0.0,-34552351959114.074,_,_
0.0,-38177584020643.48,_,_
49.3751459369,-4355514514894.0537,_,_
50.0000007451,-58758012914246.11,_,_
50.0000007451,-51786429527417.16,_,_
50.0000007451,34233558405902.152,_,_
50.0000007451,-22575346987584.195,_,_
50.0000007451,41960125649992.14,_,_
50.0000007451,27992661432552.293,_,_
50.0000007451,-24149625836565.168,_,_
50.0000007451,18810820482045.117,_,_
50.0000007451,-19609197626662.477,_,_
50.0000007451,-29955971888192.402,_,_
50.0000007451,-35475452760973.99,_,_
50.0000007451,30060407033664.375,_,_
50.0000007451,-38957642119935.03,_,_
148.7502926096,-6000356141738.832,_,_
150.0000022352,-14900997167088.564,_,_
150.0000022352,-73490485342776.16,_,_
150.0000022352,-6435188267152.445,_,_
150.0000022352,49229435353219.1,_,_
150.0000022352,-181636373632.5768,_,_
150.0000022352,-14158428897960.371,_,_
150.0000022352,-46305221227802.4,_,_
150.0000022352,70086791689250.93,_,_
150.0000022352,-5562768468536.04,_,_
100.6248563059,-25605344680.18904,_,_
100.0000014901,17094214136505.258,_,_
100.0000014901,11508081799312.734,_,_
100.0000014901,34733369529970.234,_,_
100.0000014901,18748678516739.11,_,_
100.0000014901,60046334554989.88,_,_
100.0000014901,-54861031533877.805,_,_
100.0000014901,-19859133308908.008,_,_
100.0000014901,-4440935997834.031,_,_
100.0000014901,-54306737886236.734,_,_
100.0000014901,59939345861312.2,_,_
100.0000014901,-58317611522220.48,_,_
99.3788078438,6989604054880.576,_,_
50.0000007451,27583812252525.695,_,_
50.0000007451,19881879646011.484,_,_
50.0000007451,-43733349938005.57,_,_
50.0000007451,-37423413789797.44,_,_
50.0000007451,388648174199.9374,_,_
50.0000007451,18475473693136.094,_,_
50.0000007451,12615634573782.146,_,_
50.0000007451,36447903611532.08,_,_
50.0000007451,35947087504903.83,_,_
50.0000007451,-19002348337906.38,_,_
50.0000007451,-33589158402656.676,_,_
50.0000007451,28214499828234.004,_,_
50.0000007451,42457749875544.266,_,_
50.0000007451,34269790357845.906,_,_
51.2423880255,20002569814234.277,_,_
150.0000022352,2840981552115.2764,_,_
150.0000022352,-630551698508.468,_,_
150.0000022352,83300872985185.73,_,_
150.0000022352,-12992364169795.96,_,_
150.0000022352,60982717107002.39,_,_
150.0000022352,-41945370075559.664,_,_
150.0000022352,-44539524480856.88,_,_
150.0000022352,-25756673549662.19,_,_
150.0000022352,8813672818480.482,_,_
149.378808598,-14512520393088.244,_,_
100.0000014901,65406957327501.8,_,_
100.0000014901,-33543273915074.406,_,_
100.0000014901,-39967914187465.48,_,_
100.0000014901,11310305944182.828,_,_
100.0000014901,36076216586990.664,_,_
100.0000014901,56615447889560.31,_,_
100.0000014901,-9649802108491.611,_,_
100.0000014901,34362494730126.906,_,_
100.0000014901,-11981628687337.053,_,_
100.0000014901,26126511752748.61,_,_
100.0000014901,-40858707497728.46,_,_
100.0000014901,-39175147805218.336,_,_
149.3751474346,-36626686430074.87,_,_
150.0000022352,-13003127082669.541,_,_
150.0000022352,-73342759727097.47,_,_
150.0000022352,2871432310792.339,_,_
150.0000022352,-36256887429389.51,_,_
150.0000022352,17247363348232.924,_,_
150.0000022352,-3653272740777.318,_,_
150.0000022352,8648257707397.717,_,_
150.0000022352,67680405096675.086,_,_
150.0000022352,39005241685420.445,_,_
51.2497103554,15366355698041.102,_,_
50.0000007451,-28736451400813.67,_,_
50.0000007451,54823351582886.67,_,_
50.0000007451,-8170493582908.44,_,_
50.0000007451,16190135102657.748,_,_
50.0000007451,29996906400324.68,_,_
50.0000007451,-2728348946382.968,_,_
50.0000007451,-50150774236172.0,_,_
50.0000007451,-1468284245135.4944,_,_
50.0000007451,28039808944750.77,_,_
50.0000007451,-57719248139295.14,_,_
50.0000007451,-14697953493085.17,_,_
50.0000007451,-19851767750116.914,_,_
50.0000007451,-19352897586645.91,_,_
50.0000007451,231933638249.2122,_,_
99.3751466773,-25886990146232.76,_,_
100.0000014901,-21085485908323.105,_,_
100.0000014901,36664602687140.07,_,_
100.0000014901,49431552480762.69,_,_
100.0000014901,-3214788830719.998,_,_
100.0000014901,-34264569998720.176,_,_
100.0000014901,78394377857299.47,_,_
100.0000014901,-6719311412346.627,_,_
100.0000014901,-24052919510677.6,_,_
100.0000014901,-33255565295398.29,_,_
100.0000014901,31525269476907.215,_,_
100.0000014901,13264404397790.352,_,_
98.7576142035,-23495400049226.78,_,_
0.0,15063862756299.05,_,_
0.0,42723114663531.586,_,_
